time_ms,ax,ay,az,gx,gy,gz
2181,-0.6586,1.0076,0.675,1.2462,0.234,1.3528
2222,-0.6642,1.0127,0.675,0.0706,-0.2545,-0.3418
2235,-0.6586,1.0079,0.6728,1.3378,-0.3614,-0.2655
2247,-0.6532,1.0144,0.675,0.7882,-0.7583,-0.6166
2260,-0.6556,1.0054,0.6747,-0.3111,-0.6973,-1.0747
2274,-0.6639,1.0108,0.6684,0.208,0.0508,-1.3189
2287,-0.659,1.0049,0.6789,1.2309,0.3256,-0.296
2328,-0.6625,1.0101,0.6769,1.2004,0.3104,1.2002
2340,-0.6588,1.0157,0.674,0.8034,0.3867,1.2307
2353,-0.6578,1.0198,0.6789,0.2996,0.1272,0.5131
2366,-0.661,1.0162,0.6803,-0.1737,-0.1324,-0.6166
2379,-0.6559,1.0098,0.6757,0.0401,0.0356,-0.3724
2393,-0.6581,1.0061,0.6772,-0.4485,0.3409,0.4673
2434,-0.6593,1.0218,0.6669,2.9408,0.7684,1.8414
2447,-0.6564,1.0186,0.6757,0.0401,0.1272,-0.3571
2460,-0.6605,1.0191,0.6711,-1.2118,-0.3461,-2.0212
2473,-0.6551,1.013,0.6764,-1.0134,-0.8499,-2.4182
2486,-0.6568,1.0118,0.6776,-0.9676,-0.6362,-1.3189
2498,-0.6586,1.0108,0.6818,-0.2042,-0.3003,-0.1892
2540,-0.6529,1.0174,0.674,0.2691,0.3714,0.3299
2552,-0.6561,1.014,0.6796,0.0553,0.2188,-0.4792
2566,-0.6586,1.0171,0.6769,-0.8454,-0.1782,-0.7846
2579,-0.6595,1.0098,0.6747,-1.3187,-0.1324,-0.235
2591,-0.661,1.0147,0.6767,-1.0134,-0.1171,-0.2808
2605,-0.6571,1.0125,0.6818,-0.6317,-0.5293,0.0551
2646,-0.6583,1.014,0.6706,-0.937,-0.1782,-0.5861
2659,-0.6529,1.0127,0.675,1.1698,0.5699,0.0093
2671,-0.6564,1.0086,0.6752,1.3683,0.4173,1.2612
2684,-0.6522,1.0118,0.6742,1.5057,0.7226,2.1467
2698,-0.6566,1.0162,0.6767,2.5897,0.2646,1.994
2710,-0.6559,1.0245,0.6701,1.4599,0.6463,0.4063
2752,-0.6568,1.0115,0.6742,0.2233,-0.285,-0.5556
2765,-0.6603,1.013,0.6747,0.3149,-0.4224,-0.4029
2777,-0.6534,1.0088,0.6762,1.3683,-0.1782,0.7879
